证券名称,证券代码,所属申万行业名称(港股)(2021)
道和环球,0915.HK,----
龙源电力,0916.HK,公用事业--电力--风力发电
趣致集团,0917.HK,计算机--软件开发--垂直应用软件
龙翼航空科技,0918.HK,----
现代健康科技,0919.HK,----
海信家电,0921.HK,家用电器--白色家电--空调
安贤园中国,0922.HK,----
综合环保集团,0923.HK,----
坤集团,0924.HK,----
碧生源,0926.HK,----
富士高实业,0927.HK,----
帝王国际投资,0928.HK,----
国际精密,0929.HK,----
中国港能,0931.HK,公用事业--燃气Ⅱ--燃气Ⅲ
顺腾国际控股,0932.HK,----
非凡领越,0933.HK,纺织服饰--服装家纺--运动服装
中石化冠德,0934.HK,石油石化--炼化及贸易--油品石化贸易
佳兆业资本,0936.HK,----
民生国际,0938.HK,----
建设银行,0939.HK,银行--国有大型银行Ⅱ--国有大型银行Ⅲ
中国移动,0941.HK,通信--通信服务--电信运营商
中证国际,0943.HK,----
宏利金融-S,0945.HK,非银金融--多元金融--金融控股
摩比发展,0947.HK,----
阿尔法企业,0948.HK,----
李氏大药厂,0950.HK,医药生物--化学制药--原料药
超威动力,0951.HK,电力设备--电池--蓄电池及其他电池
华富建业金融,0952.HK,----
邵氏兄弟控股,0953.HK,----
常茂生物,0954.HK,----
新天绿色能源,0956.HK,公用事业--电力--风力发电
世纪娱乐国际,0959.HK,----
龙湖集团,0960.HK,房地产--房地产开发--住宅开发
中国太平,0966.HK,非银金融--保险Ⅱ--保险Ⅲ
信义光能,0968.HK,电力设备--光伏设备--光伏辅材
华联国际,0969.HK,----
新耀莱,0970.HK,----
中国顺客隆,0974.HK,----
MONGOL MINING,0975.HK,煤炭--煤炭开采--焦煤
齐合环保,0976.HK,环保--环境治理--固废治理
招商局置地,0978.HK,房地产--房地产开发--住宅开发
绿色能源科技集团,0979.HK,----
联华超市,0980.HK,----
中芯国际,0981.HK,电子--半导体--集成电路制造
瑞安建业,0983.HK,----
永旺,0984.HK,----
杜甫酒业集团,0986.HK,----
中国再生能源投资,0987.HK,----
中国长白山国际,0989.HK,房地产--房地产开发--住宅开发
至源控股,0990.HK,商贸零售--专业连锁Ⅱ--专业连锁Ⅲ
大唐发电,0991.HK,公用事业--电力--火力发电
联想集团,0992.HK,计算机--计算机设备--其他计算机设备
信控国际资本,0993.HK,----
中天宏信,0994.HK,----
安徽皖通高速公路,0995.HK,交通运输--铁路公路--高速公路
普汇中金国际,0997.HK,----
中信银行,0998.HK,银行--股份制银行Ⅱ--股份制银行Ⅲ
小菜园,0999.HK,社会服务--酒店餐饮--餐饮
北青传媒,1000.HK,----
沪港联合,1001.HK,----
威铖国际,1002.HK,----
欢喜传媒,1003.HK,----
中国智慧能源,1004.HK,----
MATRIX HOLDINGS,1005.HK,----
龙辉国际控股,1007.HK,----
力图控股,1008.HK,----
国际娱乐,1009.HK,----
天玺曜11,1010.HK,----
泰凌医药,1011.HK,----
伟俊集团控股,1013.HK,----
赛伯乐国际控股,1020.HK,----
飞鱼科技,1022.HK,----
时代集团控股,1023.HK,----
快手-W,1024.HK,传媒--数字媒体--视频媒体
嘉艺控股,1025.HK,----
环球实业科技,1026.HK,----
中国集成控股,1027.HK,----
千百度,1028.HK,纺织服饰--服装家纺--鞋帽及其他
铁货,1029.HK,----
新城发展,1030.HK,房地产--房地产开发--住宅开发
中石化油服,1033.HK,石油石化--油服工程--油田服务
万科海外,1036.HK,----
云智汇科技,1037.HK,----
长江基建集团,1038.HK,建筑装饰--基础建设--基建市政工程
畅由国际集团,1039.HK,----
恒安国际,1044.HK,美容护理--个护用品--生活用纸
亚太卫星,1045.HK,----
寰宇娱乐文化,1046.HK,----
毅兴行,1047.HK,----
时富投资,1049.HK,----
嘉利国际,1050.HK,----
国际资源,1051.HK,----
越秀交通基建,1052.HK,交通运输--铁路公路--高速公路
重庆钢铁股份,1053.HK,钢铁--普钢--板材
中国南方航空股份,1055.HK,交通运输--航空机场--航空运输
浙江世宝,1057.HK,汽车--汽车零部件--底盘与发动机系统
南粤控股,1058.HK,----
看通集团,1059.HK,----
大麦娱乐,1060.HK,传媒--影视院线--影视动漫制作
亿胜生物科技,1061.HK,----
国开国际投资,1062.HK,----
新确科技,1063.HK,----
中华国际,1064.HK,----
天津创业环保股份,1065.HK,环保--环境治理--水务及水治理
威高股份,1066.HK,医药生物--医疗器械--医疗耗材
雨润食品,1068.HK,----
中国健康科技集团,1069.HK,----
TCL电子,1070.HK,家用电器--黑色家电--彩电
华电国际电力股份,1071.HK,公用事业--电力--火力发电
东方电气,1072.HK,电力设备--其他电源设备Ⅱ--综合电力设备商
大禹金融,1073.HK,----
首都信息,1075.HK,----
松景科技,1079.HK,----
胜利管道,1080.HK,----
源宇宙教育,1082.HK,----
港华智慧能源,1083.HK,公用事业--燃气Ⅱ--燃气Ⅲ
绿新生物科技,1084.HK,----
亨鑫科技,1085.HK,----
好孩子国际,1086.HK,商贸零售--专业连锁Ⅱ--专业连锁Ⅲ
威讯控股,1087.HK,----
中国神华,1088.HK,煤炭--煤炭开采--动力煤
大明国际,1090.HK,----
南方锰业,1091.HK,----
石药集团,1093.HK,医药生物--化学制药--化学制剂
承辉国际,1094.HK,----
有线宽频,1097.HK,传媒--电视广播Ⅱ--电视广播Ⅲ
路劲,1098.HK,房地产--房地产开发--住宅开发
国药控股,1099.HK,医药生物--医药商业--医药流通
飞达控股,1100.HK,----
华荣能源,1101.HK,----
环能国际,1102.HK,----
亚太资源,1104.HK,----
星岛,1105.HK,----
当代置业,1107.HK,----
凯盛新能,1108.HK,建筑材料--玻璃玻纤--玻璃制造
华润置地,1109.HK,房地产--房地产开发--住宅开发
金活医药集团,1110.HK,----
华视集团控股,1111.HK,----
H&H国际控股,1112.HK,食品饮料--食品加工--保健品
长实集团,1113.HK,房地产--房地产开发--住宅开发
华晨中国,1114.HK,汽车--乘用车--综合乘用车
5100藏冰川,1115.HK,食品饮料--饮料乳品--软饮料
慧源同创科技,1116.HK,----
现代牧业,1117.HK,食品饮料--饮料乳品--乳品
高力集团,1118.HK,----
创梦天地,1119.HK,传媒--游戏Ⅱ--游戏Ⅲ
雅视光学,1120.HK,----
金阳新能源,1121.HK,纺织服饰--纺织制造--纺织鞋类制造
庆铃汽车股份,1122.HK,----
中港照相,1123.HK,----
沿海家园,1124.HK,----
丽丰控股,1125.HK,----
德林国际,1126.HK,----
狮子山集团,1127.HK,----
永利澳门,1128.HK,社会服务--旅游及景区--博彩
中国水业集团,1129.HK,----
中国环境资源,1130.HK,----
橙天嘉禾,1132.HK,----
哈尔滨电气,1133.HK,----
恒发光学,1134.HK,----
香港科技探索,1137.HK,商贸零售--互联网电商--综合电商
中远海能,1138.HK,交通运输--航运港口--航运
华科智能投资,1140.HK,非银金融--多元金融--资产管理
民银资本,1141.HK,非银金融--多元金融--其他多元金融
能源及能量环球,1142.HK,----
中国储能科技发展,1143.HK,----
勇利投资,1145.HK,----
汇成国际控股,1146.HK,----
伊登软件,1147.HK,----
新晨动力,1148.HK,----
米兰站,1150.HK,----
正乾金融控股,1152.HK,----
佳源服务,1153.HK,----
中科天元,1156.HK,----
中联重科,1157.HK,机械设备--工程机械--工程机械整机
智数科技集团,1159.HK,----
金石资本集团,1160.HK,----
奥思集团,1161.HK,----
莹岚集团,1162.HK,----
虎视传媒,1163.HK,----
中广核矿业,1164.HK,有色金属--小金属--其他小金属
顺风清洁能源,1165.HK,----
星凯控股,1166.HK,----
加科思-B,1167.HK,医药生物--生物制品--其他生物制品
Z FIN,1168.HK,----
信星集团,1170.HK,----
兖矿能源,1171.HK,煤炭--煤炭开采--动力煤
融太集团,1172.HK,----
威高国际,1173.HK,----
珠光控股,1176.HK,房地产--房地产开发--住宅开发
中国生物制药,1177.HK,医药生物--化学制药--化学制剂
华住集团-S,1179.HK,社会服务--酒店餐饮--酒店
汇彩控股,1180.HK,----
唐宫中国,1181.HK,----
胜龙国际,1182.HK,----
澳能建设,1183.HK,----
S.A.S. DRAGON,1184.HK,----
中国铁建,1186.HK,建筑装饰--基础建设--基建市政工程
正道集团,1188.HK,----
大湾区聚变力量,1189.HK,----
华润燃气,1193.HK,公用事业--燃气Ⅱ--燃气Ⅲ
京维集团,1195.HK,----
伟禄集团,1196.HK,轻工制造--包装印刷--印刷
皇朝家居,1198.HK,----
中远海运港口,1199.HK,交通运输--航运港口--港口
美联集团,1200.HK,----
天臣控股,1201.HK,----
四威科技,1202.HK,----
广南(集团),1203.HK,----
博维智慧,1204.HK,----
中信资源,1205.HK,石油石化--炼化及贸易--油品石化贸易
同方泰德,1206.HK,----
五矿资源,1208.HK,有色金属--工业金属--铜
华润万象生活,1209.HK,房地产--房地产服务--物业管理
比亚迪股份,1211.HK,汽车--乘用车--电动乘用车
万保刚集团,1213.HK,----
开源控股,1215.HK,----
中原银行,1216.HK,----
中国创新投资,1217.HK,----
永义国际,1218.HK,----
志道国际,1220.HK,----
SINO HOTELS,1221.HK,----
宏安集团,1222.HK,----
新沣集团,1223.HK,----
中渝置地,1224.HK,----
隆成金融,1225.HK,----
中国投融资,1226.HK,----
北海康成-B,1228.HK,----
南南资源,1229.HK,----
新矿资源,1231.HK,----
金轮天地控股,1232.HK,----
时代中国控股,1233.HK,房地产--房地产开发--住宅开发
中国利郎,1234.HK,纺织服饰--服装家纺--非运动服装
专业旅运,1235.HK,----
中科生物,1237.HK,----
宝龙地产,1238.HK,房地产--房地产开发--商业地产
TEAMWAY INTL GP,1239.HK,----
青建国际,1240.HK,----
双桦控股,1241.HK,----
宏安地产,1243.HK,----
思路迪医药股份,1244.HK,医药生物--生物制品--其他生物制品
NIRAKU,1245.HK,----
保集健康,1246.HK,----
米格国际控股,1247.HK,----
山高新能源,1250.HK,公用事业--电力--电能综合服务
华油能源,1251.HK,----
中国天瑞水泥,1252.HK,----
绿博生态,1253.HK,----
TATA健康,1255.HK,----
中国光大绿色环保,1257.HK,环保--环境治理--固废治理
中国有色矿业,1258.HK,有色金属--工业金属--铜
未来发展控股,1259.HK,----
皓天财经集团,1260.HK,----
蜡笔小新食品,1262.HK,----
栢能集团,1263.HK,----
天津津燃公用,1265.HK,----
美东汽车,1268.HK,汽车--汽车服务--汽车经销商
首控集团,1269.HK,汽车--汽车零部件--底盘与发动机系统
朗廷-SS,1270.HK,----
佳明集团控股,1271.HK,----
大唐环境,1272.HK,----
香港信贷,1273.HK,----
知行科技,1274.HK,计算机--软件开发--垂直应用软件
恒瑞医药,1276.HK,医药生物--化学制药--化学制剂
力量发展,1277.HK,煤炭--煤炭开采--动力煤
中国新城镇,1278.HK,----
奇点国峰,1280.HK,----
鑫达投资控股,1281.HK,----
中泽丰,1282.HK,非银金融--多元金融--其他多元金融
高升集团控股,1283.HK,----
新传企划,1284.HK,----
嘉士利集团,1285.HK,----
鹰普精密,1286.HK,机械设备--通用设备--金属制品
农业银行,1288.HK,银行--国有大型银行Ⅱ--国有大型银行Ⅲ
盛力达科技,1289.HK,----
中国汇融,1290.HK,----
长安民生物流,1292.HK,----
广汇宝信,1293.HK,汽车--汽车服务--汽车经销商
云能国际,1298.HK,----
友邦保险,1299.HK,非银金融--保险Ⅱ--保险Ⅲ
俊知集团,1300.HK,----
德基科技控股,1301.HK,----
先健科技,1302.HK,医药生物--医疗器械--医疗耗材
汇力资源,1303.HK,----
峰岹科技,1304.HK,电子--半导体--数字芯片设计
伟志控股,1305.HK,----
海丰国际,1308.HK,交通运输--航运港口--航运
香港宽频,1310.HK,通信--通信服务--电信运营商
华控康泰,1312.HK,----
华润建材科技,1313.HK,建筑材料--水泥--水泥制造
翠华控股,1314.HK,----
绿色经济,1315.HK,建筑装饰--房屋建设Ⅱ--房屋建设Ⅲ
耐世特,1316.HK,汽车--汽车零部件--底盘与发动机系统
枫叶教育,1317.HK,社会服务--教育--学历教育
毛戈平,1318.HK,美容护理--化妆品--品牌化妆品
霭华押业信贷,1319.HK,----
中国新城市,1321.HK,----
华盛国际控股,1323.HK,----
传递娱乐,1326.HK,----
励时集团,1327.HK,----
金涌投资,1328.HK,----
绿色动力环保,1330.HK,环保--环境治理--固废治理
透云生物,1332.HK,----
博雷顿,1333.HK,机械设备--工程机械--工程机械整机
瑞昌国际控股,1334.HK,----
顺泰控股,1335.HK,----
新华保险,1336.HK,非银金融--保险Ⅱ--保险Ⅲ
霸王集团,1338.HK,----
中国人民保险集团,1339.HK,非银金融--保险Ⅱ--保险Ⅲ
惠生国际,1340.HK,----
昊天国际建投,1341.HK,机械设备--工程机械--工程机械整机
伟源控股,1343.HK,----
上海先锋控股,1345.HK,----
利华控股集团,1346.HK,----
华虹半导体,1347.HK,电子--半导体--集成电路制造
滉达富控股,1348.HK,----
复旦张江,1349.HK,医药生物--化学制药--化学制剂
辉煌明天,1351.HK,----
经发物业,1354.HK,----
朸濬国际,1355.HK,----
美图公司,1357.HK,计算机--软件开发--垂直应用软件
普华和顺,1358.HK,----
中国信达,1359.HK,非银金融--多元金融--资产管理
361度,1361.HK,纺织服饰--服装家纺--运动服装
新龙移动,1362.HK,----
古茗,1364.HK,社会服务--酒店餐饮--餐饮
特步国际,1368.HK,纺织服饰--服装家纺--运动服装
奥威控股,1370.HK,----
中国生态旅游,1371.HK,----
中国碳中和,1372.HK,----
国际家居零售,1373.HK,----
中州证券,1375.HK,非银金融--证券Ⅱ--证券Ⅲ
RAFFLESINTERIOR,1376.HK,----
中国宏桥,1378.HK,有色金属--工业金属--铝
温岭工量刃具,1379.HK,----
中国金石,1380.HK,----
互太纺织,1382.HK,纺织服饰--纺织制造--棉纺
滴普科技,1384.HK,----
上海复旦,1385.HK,电子--半导体--数字芯片设计
安莉芳控股,1388.HK,----
美捷汇控股,1389.HK,----
恒鼎实业,1393.HK,----
强泰环保,1395.HK,----
粤港湾控股,1396.HK,----
碧瑶绿色集团,1397.HK,----
工商银行,1398.HK,银行--国有大型银行Ⅱ--国有大型银行Ⅲ
锐信控股,1399.HK,----
满地科技股份,1400.HK,----
未来机器有限公司,1401.HK,----
超智能控股,1402.HK,----
达势股份,1405.HK,社会服务--酒店餐饮--餐饮
清晰医疗,1406.HK,----
交运燃气,1407.HK,----
濠江机电,1408.HK,----
安领国际,1410.HK,----
隽思集团,1412.HK,----
铸帝控股,1413.HK,----
高伟电子,1415.HK,电子--消费电子--消费电子零部件及组装
CTR HOLDINGS,1416.HK,----
浦江中国,1417.HK,----
盛诺集团,1418.HK,----
盈健医疗,1419.HK,----
川控股,1420.HK,----
恒昌集团国际,1421.HK,----
捷隆控股,1425.HK,----
中国天保集团,1427.HK,----
耀才证券金融,1428.HK,----
天任集团,1429.HK,----
原生态牧业,1431.HK,----
中国圣牧,1432.HK,食品饮料--饮料乳品--乳品
常达控股,1433.HK,----
应星控股,1440.HK,----
鹰辉物流,1442.HK,----
富临集团控股,1443.HK,----
鸿福堂,1446.HK,----
新福港,1447.HK,----
福寿园,1448.HK,社会服务--专业服务--其他专业服务
立德教育,1449.HK,----
交个朋友控股,1450.HK,----
万成集团股份,1451.HK,----
迪诺斯环保,1452.HK,----
科利实业控股,1455.HK,----
国联民生,1456.HK,非银金融--证券Ⅱ--证券Ⅲ
周黑鸭,1458.HK,食品饮料--休闲食品--熟食
巨匠建设,1459.HK,----
扬科集团,1460.HK,----
中泰期货,1461.HK,----
C-LINK SQ,1463.HK,----
佰金生命科学,1466.HK,----
嘉高达资本,1468.HK,非银金融--证券Ⅱ--证券Ⅲ
富一国际控股,1470.HK,----
众淼控股,1471.HK,----
生兴控股,1472.HK,----
环联连讯,1473.HK,----
日清食品,1475.HK,食品饮料--休闲食品--烘焙食品
金融街证券,1476.HK,----
欧康维视生物-B,1477.HK,医药生物--生物制品--其他生物制品
丘钛科技,1478.HK,电子--光学光电子--光学元件
恩达集团控股,1480.HK,----
竣球控股,1481.HK,----
网誉科技,1483.HK,----
思城控股,1486.HK,----
百福控股,1488.HK,----
GC CONSTRUCTION,1489.HK,----
车市科技,1490.HK,----
集一控股,1495.HK,----
亚积邦租赁,1496.HK,----
燕之屋,1497.HK,----
培力农本方,1498.HK,----
欧科云链,1499.HK,----
现恒建筑,1500.HK,----
瑛泰医疗,1501.HK,----
金融街物业,1502.HK,----
中国再保险,1508.HK,非银金融--保险Ⅱ--保险Ⅲ
丽珠医药,1513.HK,医药生物--化学制药--化学制剂
华润医疗,1515.HK,医药生物--医疗服务--医院
融创服务,1516.HK,房地产--房地产服务--物业管理
新世纪医疗,1518.HK,----
极兔速递-W,1519.HK,交通运输--物流--快递
天机控股,1520.HK,----
方达控股,1521.HK,医药生物--医疗服务--医疗研发外包
京投交通科技,1522.HK,----
珩湾科技,1523.HK,----
建桥教育,1525.HK,----
瑞慈医疗,1526.HK,----
天洁环境,1527.HK,----
红星美凯龙,1528.HK,商贸零售--一般零售--商业物业经营
乐氏国际控股,1529.HK,----
三生制药,1530.HK,医药生物--生物制品--其他生物制品
中国派对文化,1532.HK,----
煜荣集团,1536.HK,----
中奥到家,1538.HK,----
知行集团控股,1539.HK,----
澳狮环球,1540.HK,----
宜明昂科-B,1541.HK,医药生物--生物制品--其他生物制品
台州水务,1542.HK,----
中盈盛达融资担保,1543.HK,----
设计都会,1545.HK,----
德莱建业,1546.HK,----
IBI GROUP HLDGS,1547.HK,----
金斯瑞生物科技,1548.HK,医药生物--生物制品--其他生物制品
永丰集团控股,1549.HK,----
广州农商银行,1551.HK,银行--农商行Ⅱ--农商行Ⅲ
BHCC HOLDING,1552.HK,----
迈科管业,1553.HK,----
MI能源,1555.HK,----
建业建荣,1556.HK,----
剑虹集团控股,1557.HK,----
均安控股,1559.HK,----
星星集团,1560.HK,----
联洋智能控股,1561.HK,----
友联国际教育租赁,1563.HK,社会服务--教育--学历教育
成实外教育,1565.HK,----
华夏文化科技,1566.HK,----
承达集团,1568.HK,----
民生教育,1569.HK,社会服务--教育--学历教育
伟业控股,1570.HK,----
信邦控股,1571.HK,----
中国艺术金融,1572.HK,----
皇庭智家,1575.HK,----
齐鲁高速,1576.HK,----
汇鑫小贷,1577.HK,----
天津银行,1578.HK,----
颐海国际,1579.HK,食品饮料--调味发酵品Ⅱ--调味发酵品Ⅲ
大森控股,1580.HK,----
进升集团控股,1581.HK,----
华营建筑,1582.HK,----
亲亲食品,1583.HK,----
雅迪控股,1585.HK,汽车--摩托车及其他--摩托车
力鸿检验,1586.HK,----
欣融国际,1587.HK,----
畅捷通,1588.HK,----
汛和集团,1591.HK,----
基石控股,1592.HK,----
辰林教育,1593.HK,----
翼辰实业,1596.HK,----
纳泉能源科技,1597.HK,----
21世纪教育,1598.HK,----
城建设计,1599.HK,----
天伦燃气,1600.HK,公用事业--燃气Ⅱ--燃气Ⅲ
中关村科技租赁,1601.HK,----
国银金租,1606.HK,----
伟能集团,1608.HK,电力设备--其他电源设备Ⅱ--其他电源设备Ⅲ
中粮家佳康,1610.HK,食品饮料--食品加工--肉制品
新火科技控股,1611.HK,----
永胜医疗,1612.HK,----
协同通信,1613.HK,----
奥邦建筑,1615.HK,----
一元宇宙,1616.HK,----
南方通信,1617.HK,----
中国中冶,1618.HK,建筑装饰--专业工程--其他专业工程
富盈环球集团,1620.HK,----
域高国际控股,1621.HK,----
力高集团,1622.HK,房地产--房地产开发--住宅开发
海隆控股,1623.HK,----
嘉耀控股,1626.HK,----
安保工程控股,1627.HK,----
禹洲集团,1628.HK,房地产--房地产开发--住宅开发
冠均国际控股,1629.HK,----
建成控股,1630.HK,----
REF HOLDINGS,1631.HK,----
民商创科,1632.HK,----
上谕集团,1633.HK,----
大众公用,1635.HK,公用事业--燃气Ⅱ--燃气Ⅲ
中国金属利用,1636.HK,有色金属--工业金属--铜
顺兴集团控股,1637.HK,----
佳兆业集团,1638.HK,房地产--房地产开发--住宅开发
千循科技,1640.HK,----
现代中药集团,1643.HK,----
海纳智能,1645.HK,----
雄岸科技,1647.HK,----
HYGIEIA GROUP,1650.HK,----
津上机床中国,1651.HK,----
福森药业,1652.HK,----
MOS HOUSE,1653.HK,----
OKURA HOLDINGS,1655.HK,----
亿仕登控股,1656.HK,----
桦欣控股,1657.HK,----
邮储银行,1658.HK,银行--国有大型银行Ⅱ--国有大型银行Ⅲ
七元投资,1660.HK,----
中国前沿科技集团,1661.HK,----
义合控股,1662.HK,----
汉港控股,1663.HK,----
同仁堂科技,1666.HK,医药生物--中药Ⅱ--中药Ⅲ
迪米生活控股,1667.HK,----
华南城,1668.HK,房地产--房地产开发--产业地产
环球信贷集团,1669.HK,----
天保能源,1671.HK,----
歌礼制药-B,1672.HK,----
华章科技,1673.HK,----
亚信科技,1675.HK,计算机--软件开发--垂直应用软件
高地股份,1676.HK,----
瑞斯康集团,1679.HK,----
澳门励骏,1680.HK,社会服务--旅游及景区--博彩
康臣药业,1681.HK,医药生物--中药Ⅱ--中药Ⅲ
杭品生活科技,1682.HK,----
旷逸国际,1683.HK,----
博耳电力,1685.HK,----
新意网集团,1686.HK,计算机--IT服务Ⅱ--IT服务Ⅲ
华禧控股,1689.HK,----
立基工程控股,1690.HK,----
JS环球生活,1691.HK,家用电器--小家电--清洁小家电
登辉控股,1692.HK,----
璋利国际,1693.HK,----
椰丰集团,1695.HK,----
复锐医疗科技,1696.HK,----
山东国信,1697.HK,----
腾讯音乐-SW,1698.HK,传媒--数字媒体--音频媒体
途屹控股,1701.HK,----
东光化工,1702.HK,----
维力生活科技,1703.HK,----
宾仕国际,1705.HK,----
致浩达控股,1707.HK,----
三宝科技,1708.HK,----
德林控股,1709.HK,非银金融--多元金融--其他多元金融
致丰工业电子,1710.HK,----
欧化,1711.HK,----
龙资源,1712.HK,----
四川能投发展,1713.HK,----
智慧健康科技,1715.HK,----
毛记葵涌,1716.HK,----
澳优,1717.HK,食品饮料--饮料乳品--乳品
宏基集团控股,1718.HK,----
中国通商集团,1719.HK,----
普天通信集团,1720.HK,----
FSM HOLDINGS,1721.HK,----
建鹏控股,1722.HK,----
恒月控股,1723.HK,----
中国技术集团,1725.HK,电子--半导体--集成电路制造
HKE HOLDINGS,1726.HK,----
河北建设,1727.HK,----
正通汽车,1728.HK,汽车--汽车服务--汽车经销商
汇聚科技,1729.HK,电力设备--电网设备--线缆部件及其他
其利工业集团,1731.HK,----
象兴国际,1732.HK,----
易大宗,1733.HK,----
中环新能源,1735.HK,建筑装饰--专业工程--其他专业工程
中国育儿网络,1736.HK,----
亚洲实业集团,1737.HK,----
飞尚无烟煤,1738.HK,----
齐屹科技,1739.HK,----
新石文化,1740.HK,----
成志控股,1741.HK,----
HPC HOLDINGS,1742.HK,----
驴迹科技,1745.HK,----
万顺集团控股,1746.HK,----
HOME CONTROL,1747.HK,----
信源企业集团,1748.HK,----
杉杉品牌,1749.HK,----
全达电器集团控股,1750.HK,----
景联集团,1751.HK,----
澳洲成峰高教,1752.HK,----
兑吧,1753.HK,----
新城悦服务,1755.HK,房地产--房地产服务--物业管理
中国科教产业,1756.HK,----
俊裕地基,1757.HK,----
博骏教育,1758.HK,----
中油洁能控股,1759.HK,----
英恒科技,1760.HK,----
万咖壹联,1762.HK,----
中国同辐,1763.HK,----
希教国际控股,1765.HK,社会服务--教育--学历教育
中国中车,1766.HK,机械设备--轨交设备Ⅱ--轨交设备Ⅲ
TS WONDERS,1767.HK,----
思考乐教育,1769.HK,社会服务--教育--培训教育
新丰泰集团,1771.HK,----
赣锋锂业,1772.HK,有色金属--能源金属--锂
天立国际控股,1773.HK,社会服务--教育--学历教育
精英汇集团,1775.HK,----
广发证券,1776.HK,非银金融--证券Ⅱ--证券Ⅲ
花样年控股,1777.HK,房地产--房地产开发--住宅开发
彩生活,1778.HK,房地产--房地产服务--物业管理
荣尊国际控股,1780.HK,----
国际商业数字技术,1782.HK,----
晋景新能,1783.HK,建筑装饰--房屋建设Ⅱ--房屋建设Ⅲ
成都高速,1785.HK,----
铁建装备,1786.HK,----
山东黄金,1787.HK,有色金属--贵金属--黄金
国泰君安国际,1788.HK,非银金融--证券Ⅱ--证券Ⅲ
爱康医疗,1789.HK,医药生物--医疗器械--医疗耗材
达力环保,1790.HK,----
CMON,1792.HK,----
伟工控股,1793.HK,----
亚东集团,1795.HK,----
中国数智科技,1796.HK,----
东方甄选,1797.HK,社会服务--教育--培训教育
大唐新能源,1798.HK,公用事业--电力--风力发电
新特能源,1799.HK,电力设备--光伏设备--硅料硅片
中国交通建设,1800.HK,建筑装饰--基础建设--基建市政工程
信达生物,1801.HK,医药生物--生物制品--其他生物制品
文业集团,1802.HK,----
北京体育文化,1803.HK,----
企展控股,1808.HK,----
浦林成山,1809.HK,----
小米集团-W,1810.HK,电子--消费电子--品牌消费电子
中广核新能源,1811.HK,公用事业--电力--核力发电
晨鸣纸业,1812.HK,轻工制造--造纸--大宗用纸
合景泰富集团,1813.HK,房地产--房地产开发--住宅开发
珠峰黄金,1815.HK,----
中广核电力,1816.HK,公用事业--电力--核力发电
慕尚集团控股,1817.HK,纺织服饰--服装家纺--非运动服装
招金矿业,1818.HK,有色金属--贵金属--黄金
济丰包装,1820.HK,----
中木国际,1822.HK,----
华昱高速,1823.HK,----
STERLING GP,1825.HK,----
丰展控股,1826.HK,----
卓珈控股,1827.HK,----
富卫集团,1828.HK,----
完美医疗,1830.HK,----
十方控股,1831.HK,----
海天地悦旅,1832.HK,----
平安好医生,1833.HK,医药生物--医药商业--互联网药店
瑞威资管,1835.HK,----
九兴控股,1836.HK,纺织服饰--服装家纺--鞋帽及其他
五谷磨房,1837.HK,----
优越集团控股,1841.HK,----
植华集团,1842.HK,----
快餐帝国,1843.HK,----
维港环保科技,1845.HK,----
德视佳,1846.HK,----
云南建投混凝土,1847.HK,----
中国飞机租赁,1848.HK,非银金融--多元金融--租赁
秀商时代控股,1849.HK,----
鸿盛昌资源,1850.HK,----
银杏教育,1851.HK,----
春城热力,1853.HK,----
中国万天控股,1854.HK,----
中庆股份,1855.HK,建筑装饰--基础建设--园林工程
依波路,1856.HK,----
中国光大水务,1857.HK,----
春立医疗,1858.HK,医药生物--医疗器械--医疗耗材
汇量科技,1860.HK,传媒--广告营销--营销代理
保宝龙科技,1861.HK,----
景瑞控股,1862.HK,----
中国龙天集团,1863.HK,----
鹏高控股集团,1865.HK,----
中国心连心化肥,1866.HK,----
标准发展集团,1867.HK,----
同方友友,1868.HK,----
猫屎咖啡控股,1869.HK,----
益美国际控股,1870.HK,----
向中国际,1871.HK,----
冠轈控股,1872.HK,----
维亚生物,1873.HK,医药生物--医疗服务--医疗研发外包
东曜药业-B,1875.HK,----
百威亚太,1876.HK,食品饮料--非白酒--啤酒
君实生物,1877.HK,医药生物--生物制品--其他生物制品
南戈壁,1878.HK,----
中国中免,1880.HK,商贸零售--旅游零售Ⅱ--旅游零售Ⅲ
海天国际,1882.HK,机械设备--专用设备--其他专用设备
中信国际电讯,1883.HK,通信--通信服务--电信运营商
EPRINT集团,1884.HK,----
建滔积层板,1888.HK,电子--元件--印制电路板
三爱健康集团,1889.HK,----
中国科培,1890.HK,社会服务--教育--学历教育
兴合控股,1891.HK,----
恒益控股,1894.HK,----
鑫苑服务,1895.HK,----
猫眼娱乐,1896.HK,商贸零售--互联网电商--综合电商
美亨实业,1897.HK,----
中煤能源,1898.HK,煤炭--煤炭开采--动力煤
兴达国际,1899.HK,----
中国智能交通,1900.HK,----
飞扬集团,1901.HK,----
JBB BUILDERS,1903.HK,----
海通恒信,1905.HK,非银金融--多元金融--租赁
博尼控股,1906.HK,----
中国旭阳集团,1907.HK,煤炭--焦炭Ⅱ--焦炭Ⅲ
建发国际集团,1908.HK,房地产--房地产开发--住宅开发
火岩控股,1909.HK,传媒--游戏Ⅱ--游戏Ⅲ
新秀丽,1910.HK,轻工制造--文娱用品--娱乐用品
华兴资本控股,1911.HK,非银金融--多元金融--资产管理
康特隆,1912.HK,----
普拉达,1913.HK,----
