证券名称,证券代码,所属申万行业名称(港股)(2021)
激成投资,0184.HK,----
正商实业,0185.HK,房地产--房地产开发--商业地产
敏捷控股,0186.HK,----
京城机电股份,0187.HK,机械设备--通用设备--金属制品
新华汇富金融,0188.HK,----
东岳集团,0189.HK,基础化工--化学制品--氟化工
丽新国际,0191.HK,----
冠中地产,0193.HK,----
廖创兴企业,0194.HK,----
绿科科技国际,0195.HK,----
宏华集团,0196.HK,----
亨泰,0197.HK,----
德祥地产,0199.HK,----
新濠国际发展,0200.HK,社会服务--旅游及景区--博彩
华大酒店,0201.HK,----
润中国际控股,0202.HK,----
资本界金控,0204.HK,----
财讯传媒,0205.HK,----
华商能源,0206.HK,----
瀛晟科学,0209.HK,----
达芙妮国际,0210.HK,----
STYLAND HOLD,0211.HK,----
NANYANG HOLD,0212.HK,----
NATIONAL ELEC H,0213.HK,----
汇汉控股,0214.HK,----
和记电讯香港,0215.HK,通信--通信服务--电信运营商
建业实业,0216.HK,----
中国诚通发展集团,0217.HK,----
申万宏源香港,0218.HK,----
顺豪物业,0219.HK,----
统一企业中国,0220.HK,食品饮料--饮料乳品--软饮料
闽信集团,0222.HK,----
易生活控股,0223.HK,----
建生国际,0224.HK,----
博富临置业,0225.HK,----
第一上海,0227.HK,----
中能控股,0228.HK,----
利民实业,0229.HK,----
五矿地产,0230.HK,----
大陆航空科技控股,0232.HK,----
新世纪集团,0234.HK,----
中策资本控股,0235.HK,----
香港生力啤,0236.HK,----
安全货仓,0237.HK,----
白花油,0239.HK,----
利基控股,0240.HK,----
阿里健康,0241.HK,医药生物--医药商业--互联网药店
信德集团,0242.HK,房地产--房地产开发--商业地产
QPL INT'L,0243.HK,----
先施,0244.HK,----
中薇金融,0245.HK,----
TST PROPERTIES,0247.HK,----
香港通讯国际控股,0248.HK,----
爪哇控股,0251.HK,----
华信地产财务,0252.HK,----
顺豪控股,0253.HK,----
国家联合资源,0254.HK,----
龙记集团,0255.HK,----
冠城钟表珠宝,0256.HK,纺织服饰--饰品--钟表珠宝
光大环境,0257.HK,环保--环境治理--固废治理
汤臣集团,0258.HK,----
亿都(国际控股),0259.HK,----
GBA集团,0261.HK,----
迪臣发展国际,0262.HK,----
中联发展控股,0264.HK,----
港誉智慧城市服务,0265.HK,----
天德地产,0266.HK,----
中信股份,0267.HK,综合--综合Ⅱ--综合Ⅲ
金蝶国际,0268.HK,计算机--软件开发--横向通用软件
中国资源交通,0269.HK,----
粤海投资,0270.HK,环保--环境治理--水务及水治理
亚证地产,0271.HK,----
瑞安房地产,0272.HK,房地产--房地产开发--住宅开发
复兴亚洲,0274.HK,----
蒙古能源,0276.HK,----
太兴置业,0277.HK,----
裕承科金,0279.HK,非银金融--多元金融--其他多元金融
景福集团,0280.HK,----
比亚迪电子,0285.HK,电子--消费电子--消费电子零部件及组装
爱帝宫,0286.HK,----
永发置业,0287.HK,----
万洲国际,0288.HK,食品饮料--食品加工--肉制品
WING ON CO,0289.HK,----
国富量子,0290.HK,----
华润啤酒,0291.HK,食品饮料--非白酒--啤酒
国泰航空,0293.HK,交通运输--航空机场--航空运输
长江制衣,0294.HK,----
江山控股,0295.HK,公用事业--电力--光伏发电
英皇娱乐酒店,0296.HK,----
中化化肥,0297.HK,基础化工--农化制品--复合肥
庄士中国,0298.HK,----
宝新置地,0299.HK,----
美的集团,0300.HK,家用电器--白色家电--空调
三和精化,0301.HK,----
中手游,0302.HK,传媒--游戏Ⅱ--游戏Ⅲ
伟易达,0303.HK,电子--消费电子--品牌消费电子
五菱汽车,0305.HK,----
冠忠巴士集团,0306.HK,----
香港中旅,0308.HK,社会服务--旅游及景区--旅游综合
新华通讯频媒,0309.HK,----
嘉进投资国际,0310.HK,----
联泰控股,0311.HK,----
岁宝百货,0312.HK,----
裕田中国,0313.HK,----
思派健康,0314.HK,计算机--软件开发--垂直应用软件
数码通电讯,0315.HK,通信--通信服务--电信运营商
东方海外国际,0316.HK,交通运输--航运港口--航运
中船防务,0317.HK,国防军工--航海装备Ⅱ--航海装备Ⅲ
黄河实业,0318.HK,----
金宝通,0320.HK,----
德永佳集团,0321.HK,纺织服饰--纺织制造--棉纺
康师傅控股,0322.HK,食品饮料--饮料乳品--软饮料
马鞍山钢铁股份,0323.HK,钢铁--普钢--板材
布鲁可,0325.HK,轻工制造--文娱用品--娱乐用品
中国星集团,0326.HK,----
百富环球,0327.HK,计算机--计算机设备--其他计算机设备
ALCO HOLDINGS,0328.HK,----
东建国际,0329.HK,----
思捷环球,0330.HK,纺织服饰--服装家纺--非运动服装
丰盛生活服务,0331.HK,----
元亨燃气,0332.HK,----
黛丽斯国际,0333.HK,----
华显光电,0334.HK,----
美建集团,0335.HK,----
华宝国际,0336.HK,基础化工--化学制品--食品及饲料添加剂
绿地香港,0337.HK,房地产--房地产开发--住宅开发
上海石油化工股份,0338.HK,石油石化--炼化及贸易--炼油化工
中国科创产业投资,0339.HK,----
潼关黄金,0340.HK,----
大家乐集团,0341.HK,社会服务--酒店餐饮--餐饮
文化传信,0343.HK,----
维他奶国际,0345.HK,食品饮料--饮料乳品--乳品
延长石油国际,0346.HK,----
鞍钢股份,0347.HK,钢铁--普钢--板材
中国智能健康,0348.HK,----
亚洲能源物流,0351.HK,----
富阳,0352.HK,----
能源国际投资,0353.HK,----
中国软件国际,0354.HK,计算机--IT服务Ⅱ--IT服务Ⅲ
世纪城市国际,0355.HK,----
鼎立资本,0356.HK,----
美兰空港,0357.HK,----
江西铜业股份,0358.HK,有色金属--工业金属--铜
新焦点,0360.HK,----
顺龙控股,0361.HK,----
中国天化工,0362.HK,----
上海实业控股,0363.HK,房地产--房地产开发--商业地产
芯成科技,0365.HK,----
陆氏集团(越南),0366.HK,----
庄士机构国际,0367.HK,----
德合集团,0368.HK,----
永泰地产,0369.HK,----
港仔机器人,0370.HK,----
北控水务集团,0371.HK,环保--环境治理--水务及水治理
保德国际发展,0372.HK,----
联合集团,0373.HK,----
四洲集团,0374.HK,----
YGM TRADING,0375.HK,----
云锋金融,0376.HK,----
中国华君,0377.HK,----
恒嘉融资租赁,0379.HK,----
中国管业,0380.HK,----
权识国际,0381.HK,----
中汇集团,0382.HK,----
天安卓健,0383.HK,----
中国燃气,0384.HK,公用事业--燃气Ⅱ--燃气Ⅲ
建联集团,0385.HK,----
中国石油化工股份,0386.HK,石油石化--炼化及贸易--炼油化工
力丰(集团),0387.HK,----
香港交易所,0388.HK,非银金融--多元金融--金融信息服务
通天酒业,0389.HK,----
中国中铁,0390.HK,建筑装饰--基础建设--基建市政工程
美亚娱乐资讯,0391.HK,----
北京控股,0392.HK,公用事业--燃气Ⅱ--燃气Ⅲ
旭日企业,0393.HK,----
兴利(香港)控股,0396.HK,----
嬴集团,0397.HK,----
东方表行集团,0398.HK,----
星太链集团,0399.HK,----
硬蛋创新,0400.HK,商贸零售--专业连锁Ⅱ--专业连锁Ⅲ
万嘉集团,0401.HK,----
星光集团,0403.HK,----
有利集团,0406.HK,----
叶氏化工集团,0408.HK,----
SOHO中国,0410.HK,房地产--房地产开发--商业地产
南顺(香港),0411.HK,----
山高控股,0412.HK,非银金融--多元金融--金融控股
南华集团控股,0413.HK,----
谢瑞麟,0417.HK,----
方正控股,0418.HK,----
弘毅文化集团,0419.HK,社会服务--专业服务--其他专业服务
福田实业,0420.HK,----
越南制造加工出口,0422.HK,----
经济日报集团,0423.HK,----
敏实集团,0425.HK,汽车--汽车零部件--车身附件及饰件
万华媒体,0426.HK,----
中国天弓控股,0428.HK,----
东方兴业控股,0430.HK,----
大中华金融,0431.HK,----
盈大地产,0432.HK,房地产--房地产开发--住宅开发
北方矿业,0433.HK,----
博雅互动,0434.HK,----
新宇环保,0436.HK,----
彩虹新能源,0438.HK,----
光启科学,0439.HK,通信--通信设备--通信网络设备及器件
大新金融,0440.HK,银行--其他银行Ⅱ--其他银行Ⅲ
域能控股,0442.HK,----
SINCEREWATCH HK,0444.HK,----
鸿兴印刷集团,0450.HK,----
协鑫新能源,0451.HK,公用事业--电力--光伏发电
天大药业,0455.HK,----
新城市建设发展,0456.HK,----
联亚集团,0458.HK,----
鋑联控股,0459.HK,----
四环医药,0460.HK,医药生物--化学制药--原料药
中国智能科技,0464.HK,----
富通科技,0465.HK,----
联合能源集团,0467.HK,石油石化--油气开采Ⅱ--油气开采Ⅲ
纷美包装,0468.HK,轻工制造--包装印刷--纸包装
中播数据,0471.HK,----
新丝路文旅,0472.HK,----
信铭生命科技,0474.HK,----
中发展控股,0475.HK,----
科轩动力控股,0476.HK,----
香港兴业国际,0480.HK,房地产--房地产开发--住宅开发
圣马丁国际,0482.HK,----
包浩斯国际,0483.HK,----
云游控股,0484.HK,----
中国华星,0485.HK,----
俄铝,0486.HK,----
实德环球,0487.HK,----
丽新发展,0488.HK,房地产--房地产开发--商业地产
东风集团股份,0489.HK,汽车--商用车--商用载货车
英皇文化产业,0491.HK,----
国美零售,0493.HK,商贸零售--专业连锁Ⅱ--专业连锁Ⅲ
PALADIN,0495.HK,----
卡森国际,0496.HK,房地产--房地产开发--住宅开发
资本策略地产,0497.HK,----
蓝河控股,0498.HK,----
青岛控股,0499.HK,----
先丰服务集团,0500.HK,----
兴业合金,0505.HK,----
中国食品,0506.HK,食品饮料--饮料乳品--软饮料
鼎亿集团投资,0508.HK,非银金融--多元金融--其他多元金融
世纪阳光,0509.HK,----
时富金融服务集团,0510.HK,----
电视广播,0511.HK,传媒--电视广播Ⅱ--电视广播Ⅲ
远大医药,0512.HK,医药生物--化学制药--原料药
恒和集团,0513.HK,----
中华银科技,0515.HK,----
中远海运国际,0517.HK,----
同得仕(集团),0518.HK,----
诺科达科技,0519.HK,----
呷哺呷哺,0520.HK,社会服务--酒店餐饮--餐饮
CWT INT'L,0521.HK,----
ASMPT,0522.HK,电子--半导体--半导体设备
长城天下,0524.HK,----
广深铁路股份,0525.HK,交通运输--铁路公路--铁路运输
利时集团控股,0526.HK,----
